,61312359198de5c453d3cfb9,6167e5b21fe4bb7b2579fa56,5ffca360e5368712c0d99025,6125f41a09b22ab57f141fc4,60fa1f2cf2278d3aa499500d,5e5701332445b00c809f4f5a,60fbd6e536d60cbad293b196,6174329f7090eebf66aac13e,6152cf90dee0704b0bf2993a,5f5e4841a15e3f6c48945fb9,61112143019643656743213c,5daae19f8a06b60016d1bc32,60d747e9498dbc9de1f481f8,615c45c1bdf768482da9ae9f,5f7d002d141e4e1c0e84e98e,611df8db8ecf47bb14385383,59b53c08834a170001d609d0,5db4cc7d991a36000f60c12f,60c3296117492c303de38975,6159e587cc01e08668d4d7bd,615c7b5b6c6f51e68938c2aa,611fda564c6fa3a229aedd37,5f3976475344654ec13820aa,615078887e990118be6d3c25,6134a29257aec791154425ae,5f966b181caf595331d1685e,5a64a97663394a0001556331,60e9c7d6324bb82ccb1357e4,5f009c12dac7c81b0e9c0d06,60fda80455b1001936d34ce8,6152e5bee196dfaf35c84747
81,146.0,118.0,118.0,54.0,136.0,150.0,64.0,126.0,126.0,82.0,118.0,176.0,54.0,82.0,50.0,24.0,104.0,146.0,96.0,104.0,64.0,150.0,96.0,104.0,96.0,118.0,104.0,64.0,64.0,82.0,82.0
82,73.0,137.0,137.0,127.0,97.0,109.0,103.0,76.0,76.0,63.0,137.0,188.0,127.0,63.0,91.0,12.0,101.0,73.0,99.0,101.0,103.0,109.0,99.0,101.0,99.0,137.0,101.0,103.0,103.0,63.0,63.0
83,32.0,79.0,79.0,168.0,79.0,136.0,121.0,123.0,123.0,121.0,79.0,138.0,168.0,121.0,64.0,62.0,97.0,32.0,103.0,97.0,121.0,136.0,103.0,97.0,103.0,79.0,97.0,121.0,121.0,121.0,121.0
84,101.0,177.0,177.0,99.0,62.0,36.0,138.0,95.0,95.0,23.0,177.0,148.0,99.0,23.0,164.0,52.0,127.0,101.0,73.0,127.0,138.0,36.0,73.0,127.0,73.0,177.0,127.0,138.0,138.0,23.0,23.0
85,150.0,177.0,177.0,50.0,67.0,163.0,133.0,109.0,109.0,23.0,177.0,191.0,50.0,23.0,37.0,9.0,128.0,150.0,72.0,128.0,133.0,163.0,72.0,128.0,72.0,177.0,128.0,133.0,133.0,23.0,23.0
86,82.0,119.0,119.0,118.0,99.0,160.0,101.0,120.0,120.0,81.0,119.0,162.0,118.0,81.0,40.0,38.0,94.0,82.0,106.0,94.0,101.0,160.0,106.0,94.0,106.0,119.0,94.0,101.0,101.0,81.0,81.0
87,120.0,127.0,127.0,80.0,142.0,120.0,58.0,122.0,122.0,73.0,127.0,146.0,80.0,73.0,80.0,54.0,113.0,120.0,87.0,113.0,58.0,120.0,87.0,113.0,87.0,127.0,113.0,58.0,58.0,73.0,73.0
88,86.0,98.0,98.0,114.0,177.0,81.0,23.0,110.0,110.0,102.0,98.0,121.0,114.0,102.0,119.0,79.0,54.0,86.0,146.0,54.0,23.0,81.0,146.0,54.0,146.0,98.0,54.0,23.0,23.0,102.0,102.0
89,145.0,147.0,147.0,55.0,95.0,155.0,105.0,147.0,147.0,53.0,147.0,76.0,55.0,53.0,45.0,124.0,70.0,145.0,130.0,70.0,105.0,155.0,130.0,70.0,130.0,147.0,70.0,105.0,105.0,53.0,53.0
90,129.0,135.0,135.0,71.0,97.0,140.0,103.0,167.0,167.0,65.0,135.0,145.0,71.0,65.0,60.0,55.0,206.0,129.0,-6.0,206.0,103.0,140.0,-6.0,206.0,-6.0,135.0,206.0,103.0,103.0,65.0,65.0
