,5f47792545ed0015620c5dea,5e830913ff38e3016d1a69f2,61534ac335007e11ae9dd475,5bb2a0148f3bd70001e5633f,60e197c98498a8f2baa8bc24,60aa6c8804d2aae2b7cce9d5,5f4ae489bd76c515338db02e,613636704a5fb724220f56ec,5dd26e66e454cd28a9d3153d,5b05b9796996a60001a40f14,5e4aecbff6f75d000ccc6108,5edd2e458f29cfa351de300d,5f0dfc73c4ea870f4a3180ad,5d62a50f1d7a3e0015d6a1e9,60b94f837bfda8b1977feef0,6147e5e47d2e1f4064093064,602da4b0977e1185851058c3,614778280f3a996d2b520388,5fed9b2291948ab1c1fb2351,5dbfd427a4627c4258d48ec5,611d0c64d70a6d9fcd11440b,6054ecc6e52f827e4a68d347,5ccbf31adde97100138a0eb4,589b9715a7d45800010429b6,616feb99305d8e8851e9dec6,601f00e7c33dab4182151cc5,60ffc7bb84a3a45ff45fd520,605c64f318cd6fa0d8fef2b0,611f673baf2f705177f7a3c8,6142f3f67e6cee640ce351e5,58404fd8ad98e40001ce915f,5a609c8331b87a0001c6b64c
67,54.0,84.0,146.0,62.0,32.0,32.0,34.0,32.0,32.0,34.0,178.0,138.0,168.0,54.0,84.0,116.0,84.0,152.0,146.0,168.0,116.0,54.0,146.0,84.0,48.0,84.0,32.0,138.0,84.0,116.0,62.0,146.0
68,101.0,56.0,99.0,86.0,12.0,12.0,62.0,12.0,12.0,62.0,85.0,114.0,188.0,101.0,56.0,144.0,56.0,100.0,99.0,188.0,144.0,101.0,99.0,56.0,100.0,56.0,12.0,114.0,56.0,144.0,86.0,99.0
69,136.0,46.0,64.0,70.0,35.0,35.0,56.0,35.0,35.0,56.0,103.0,130.0,165.0,136.0,46.0,154.0,46.0,123.0,64.0,165.0,154.0,136.0,64.0,46.0,77.0,46.0,35.0,130.0,46.0,154.0,70.0,64.0
70,105.0,73.0,95.0,85.0,83.0,83.0,41.0,83.0,83.0,41.0,64.0,115.0,117.0,105.0,73.0,127.0,73.0,98.0,95.0,117.0,127.0,105.0,95.0,73.0,102.0,73.0,83.0,115.0,73.0,127.0,85.0,95.0
71,45.0,97.0,155.0,73.0,70.0,70.0,69.0,70.0,70.0,69.0,91.0,127.0,130.0,45.0,97.0,103.0,97.0,97.0,155.0,130.0,103.0,45.0,155.0,97.0,103.0,97.0,70.0,127.0,97.0,103.0,73.0,155.0
72,45.0,105.0,155.0,99.0,141.0,141.0,71.0,141.0,141.0,71.0,107.0,101.0,59.0,45.0,105.0,95.0,105.0,116.0,155.0,59.0,95.0,45.0,155.0,105.0,84.0,105.0,141.0,101.0,105.0,95.0,99.0,155.0
73,122.0,100.0,78.0,34.0,135.0,135.0,66.0,135.0,135.0,66.0,45.0,166.0,65.0,122.0,100.0,100.0,100.0,82.0,78.0,65.0,100.0,122.0,78.0,100.0,118.0,100.0,135.0,166.0,100.0,100.0,34.0,78.0
74,56.0,99.0,144.0,58.0,103.0,103.0,97.0,103.0,103.0,97.0,87.0,142.0,97.0,56.0,99.0,101.0,99.0,88.0,144.0,97.0,101.0,56.0,144.0,99.0,112.0,99.0,103.0,142.0,99.0,101.0,58.0,144.0
75,120.0,4.0,80.0,33.0,151.0,151.0,131.0,151.0,151.0,131.0,63.0,167.0,49.0,120.0,4.0,196.0,4.0,121.0,80.0,49.0,196.0,120.0,80.0,4.0,79.0,4.0,151.0,167.0,4.0,196.0,33.0,80.0
76,105.0,85.0,95.0,75.0,139.0,139.0,85.0,139.0,139.0,85.0,111.0,125.0,61.0,105.0,85.0,115.0,85.0,103.0,95.0,61.0,115.0,105.0,95.0,85.0,97.0,85.0,139.0,125.0,85.0,115.0,75.0,95.0
77,98.0,95.0,102.0,107.0,69.0,69.0,121.0,69.0,69.0,121.0,85.0,93.0,131.0,98.0,95.0,105.0,95.0,161.0,102.0,131.0,105.0,98.0,102.0,95.0,39.0,95.0,69.0,93.0,95.0,105.0,107.0,102.0
78,75.0,60.0,125.0,65.0,100.0,100.0,57.0,100.0,100.0,57.0,119.0,135.0,100.0,75.0,60.0,140.0,60.0,126.0,125.0,100.0,140.0,75.0,125.0,60.0,74.0,60.0,100.0,135.0,60.0,140.0,65.0,125.0
79,118.0,44.0,82.0,93.0,117.0,117.0,130.0,117.0,117.0,130.0,104.0,107.0,83.0,118.0,44.0,156.0,44.0,136.0,82.0,83.0,156.0,118.0,82.0,44.0,64.0,44.0,117.0,107.0,44.0,156.0,93.0,82.0
80,76.0,84.0,124.0,9.0,114.0,114.0,82.0,114.0,114.0,82.0,93.0,191.0,86.0,76.0,84.0,116.0,84.0,101.0,124.0,86.0,116.0,76.0,124.0,84.0,99.0,84.0,114.0,191.0,84.0,116.0,9.0,124.0
81,118.0,96.0,82.0,24.0,150.0,150.0,54.0,150.0,150.0,54.0,136.0,176.0,50.0,118.0,96.0,104.0,96.0,74.0,82.0,50.0,104.0,118.0,82.0,96.0,126.0,96.0,150.0,176.0,96.0,104.0,24.0,82.0
82,137.0,99.0,63.0,12.0,109.0,109.0,127.0,109.0,109.0,127.0,97.0,188.0,91.0,137.0,99.0,101.0,99.0,124.0,63.0,91.0,101.0,137.0,63.0,99.0,76.0,99.0,109.0,188.0,99.0,101.0,12.0,63.0
83,79.0,103.0,121.0,62.0,136.0,136.0,168.0,136.0,136.0,168.0,79.0,138.0,64.0,79.0,103.0,97.0,103.0,77.0,121.0,64.0,97.0,79.0,121.0,103.0,123.0,103.0,136.0,138.0,103.0,97.0,62.0,121.0
84,177.0,73.0,23.0,52.0,36.0,36.0,99.0,36.0,36.0,99.0,62.0,148.0,164.0,177.0,73.0,127.0,73.0,105.0,23.0,164.0,127.0,177.0,23.0,73.0,95.0,73.0,36.0,148.0,73.0,127.0,52.0,23.0
85,177.0,72.0,23.0,9.0,163.0,163.0,50.0,163.0,163.0,50.0,67.0,191.0,37.0,177.0,72.0,128.0,72.0,91.0,23.0,37.0,128.0,177.0,23.0,72.0,109.0,72.0,163.0,191.0,72.0,128.0,9.0,23.0
